512		# total colors
16		# column width
# palette data r,g,b,a
0,0,0,255
0,184,255,255
255,255,255,255
255,33,0,255
0,33,255,255
255,33,0,255
255,255,0,255
0,33,255,255
0,184,255,255
33,0,0,255
255,33,0,255
0,33,255,255
0,184,255,255
0,184,0,255
255,0,174,255
0,0,0,255
0,0,0,255
255,151,81,255
0,0,0,255
151,104,81,255
255,151,81,255
33,0,0,255
0,0,0,255
0,0,0,255
0,33,255,255
255,0,174,255
33,0,0,255
0,184,255,255
0,184,255,255
255,0,174,255
0,0,0,255
0,0,0,255
0,0,0,255
255,255,255,255
0,0,0,255
0,0,0,255
0,33,255,255
33,0,0,255
255,33,0,255
0,0,0,255
0,184,255,255
255,0,174,255
0,0,0,255
0,0,0,255
184,104,174,255
255,0,174,255
33,71,174,255
0,184,255,255
184,104,174,255
255,33,0,255
255,255,0,255
184,104,174,255
0,184,255,255
33,0,0,255
255,33,0,255
184,104,174,255
184,104,174,255
33,0,0,255
255,33,0,255
0,0,0,255
0,0,0,255
33,0,0,255
184,255,174,255
0,184,255,255
0,0,0,255
255,151,81,255
184,255,174,255
0,184,255,255
0,0,0,255
255,0,0,255
184,255,174,255
0,184,255,255
0,0,0,255
255,151,81,255
184,255,174,255
0,184,255,255
0,0,0,255
255,151,81,255
184,255,174,255
33,0,0,255
0,0,0,255
255,151,81,255
0,184,255,255
33,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
